category,name,userId,messageId,originalTimestamp,anonymousId,userAgent,page.path,page.referrer,page.search,page.title,page.url,path,referrer,search,title,url,category_properties,name_properties,business_id,location,sponsored_listing,button_name,userAgentData.brands,userAgentData.mobile,userAgentData.platform,search_text,event_type
index,index,,ajs-next-1756867696174-64964caf-a257-4a68-b827-7c422e36b61c,2025-09-03 02:48:16.174000+00:00,964cafa2-575a-48b8-a77c-422e36b61caa,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,,,,,page
,,,ajs-next-1756867712624-037d207d-f4a7-469a-a424-339cbb0013e6,2025-09-03 02:48:32.624000+00:00,964cafa2-575a-48b8-a77c-422e36b61caa,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=Realtor&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Realtor&category=Home%20Services,,,,,,,,1744335958024x226211831616957250,main_list,true,,,,,,impression
,,,ajs-next-1756867709707-68b8277c-422e-46b6-9caa-a819118f6ea7,2025-09-03 02:48:29.707000+00:00,964cafa2-575a-48b8-a77c-422e36b61caa,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,,,search,,,,,button_click
,,,ajs-next-1756867712312-daa5037d-207d-44a7-869a-6424339cbb00,2025-09-03 02:48:32.312000+00:00,964cafa2-575a-48b8-a77c-422e36b61caa,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=Realtor&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Realtor&category=Home%20Services,,,,,,,,,sidebar,true,,,,,,impression
,,,ajs-next-1756868142546-464d6be8-ce3f-413d-a4af-1d950e101c8a,2025-09-03 02:55:42.546000+00:00,964cafa2-575a-48b8-a77c-422e36b61caa,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=Realtor&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Realtor&category=Home%20Services,,,,,,,,,sidebar,true,,,,,,impression
,,,ajs-next-1756868459200-18a2d01e-41d4-4976-af28-77bc51041207,2025-09-03 03:00:59.200000+00:00,13fddc5f-9ad7-412c-b391-1f0090144553,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Mobile Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,,,,"[{'brand': 'Not;A=Brand', 'version': '99'}, {'brand': 'Google Chrome', 'version': '139'}, {'brand': 'Chromium', 'version': '139'}]",True,Android,Realtor,search
,,,ajs-next-1756867712935-207df4a7-869a-4424-b39c-bb0013e6fc65,2025-09-03 02:48:32.935000+00:00,964cafa2-575a-48b8-a77c-422e36b61caa,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=Realtor&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Realtor&category=Home%20Services,,,,,,,,"1747864432460x772931238395911000, 1744398484109x785674167096991400",,false,,,,,,impression
search,search,,ajs-next-1756867711985-ab55daa5-037d-407d-b4a7-869a6424339c,2025-09-03 02:48:31.985000+00:00,964cafa2-575a-48b8-a77c-422e36b61caa,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=Realtor&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Realtor&category=Home%20Services,/search,https://coloradocatholicbusinessdirectory.com/,?query=Realtor&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Realtor&category=Home%20Services,search,search,,,,,,,,,page
,,,ajs-next-1756868367314-4bb3dd98-d2af-43a1-b569-0b98ba495a8e,2025-09-03 02:59:27.314000+00:00,13fddc5f-9ad7-412c-b391-1f0090144553,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Mobile Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=Realtor&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Realtor&category=,,,,,,,,"1747864432460x772931238395911000, 1744751205492x235134337285239230, 1744737250347x219277345743008400, 1744398484109x785674167096991400, 1752182630575x854371423894944000",,false,,"[{'brand': 'Not;A=Brand', 'version': '99'}, {'brand': 'Google Chrome', 'version': '139'}, {'brand': 'Chromium', 'version': '139'}]",True,Android,,impression
search,search,,ajs-next-1756868142220-bf8d464d-6be8-4e3f-a13d-64af1d950e10,2025-09-03 02:55:42.220000+00:00,964cafa2-575a-48b8-a77c-422e36b61caa,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=Realtor&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Realtor&category=Home%20Services,/search,https://coloradocatholicbusinessdirectory.com/,?query=Realtor&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Realtor&category=Home%20Services,search,search,,,,,,,,,page
