messageId,userId,anonymousId,originalTimestamp,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,business_id,location,sponsored_listing,name,category,path,referrer,search,title,url,category_properties,name_properties,traits,button_name,search_text,city,parish,input_value,input_num,input_name,email,address,other_category,description,display_email,business_name,main_category,phone,sub_category,website,event_type
ajs-next-1778121371803-c40b68f0-ec25-4838-802b-f85ba6a6133b,,2d0fb044-e3f0-477c-bb29-86fa288807c5,2026-05-07 02:36:11.803000+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Mobile Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,"[{'brand': 'Google Chrome', 'version': '147'}, {'brand': 'Not.A/Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '147'}]",True,Android,1753982403438x535213824960417500,main_list,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,impression
ajs-next-1778121423565-3dcbc51a-1b73-4774-a4d9-e3651fba4de4,,2d0fb044-e3f0-477c-bb29-86fa288807c5,2026-05-07 02:37:03.565000+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Mobile Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,"[{'brand': 'Google Chrome', 'version': '147'}, {'brand': 'Not.A/Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '147'}]",True,Android,,sidebar,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,impression
ajs-next-1778121424358-1b735774-a4d9-4365-9fba-4de4e9796e85,,2d0fb044-e3f0-477c-bb29-86fa288807c5,2026-05-07 02:37:04.358000+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Mobile Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,"[{'brand': 'Google Chrome', 'version': '147'}, {'brand': 'Not.A/Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '147'}]",True,Android,"1764963280733x431041418968701760, 1751425811600x127124815802215140, 1750784475796x702583457937545900, 1747594874125x270237571814453630, 1755621956288x571897163769246900, 1772982809798x739419868972941400, 1776360466250x658348247885801300, 1757369121056x350487849823425600, 1753909381745x872991521395046100, 1770943484557x164806709481949200, 1749057953945x756346430245684600, 1768581853937x610498789092930300, 1744760380914x558772773612561600, 1744335958024x226211831616957250, 1744736810207x919925185055488400, 1761762406893x958878656538368500, 1746635677548x343522492232585660, 1771003581692x955050931630977700, 1759153763139x433792388290277000, 1744319857648x144922844539837200, 1771433486472x495156137805681660, 1750784029587x963255839088365200, 1754949567759x639105313824555300, 1775058462201x523059865418210800, 1746827109704x963221719337950200, 1755271286521x378031808974615550, 1754505203290x671062062407191900, 1754624056001x759184470890143000, 1777052217878x935579896985562900, 1750423781412x480534435350699700, 1762271200864x775090106640580500, 1753465897836x101289632151690960, 1758147388607x898014240790697700, 1745597587022x519433479989605000, 1772482882558x843076024552954900, 1752717497153x537286585580736960, 1754927931120x470668069008822300, 1744748222708x779656090283929300, 1776360294100x840938158936498600, 1753911193017x504194995643152640, 1744579851707x640487742075829500, 1744397288473x909294892772270800, 1744643921578x315333816253624100, 1764342295066x618134664283571500, 1750783679107x801419812763124500, 1771021914207x198452557005754900, 1777405836126x277715594249416060, 1777921226784x512595595894430850, 1761919898226x928695665795906700, 1749068120323x412920063824988600, 1777042895042x187867473484191420, 1751319669665x621437589169731200, 1746855895334x711816173120128000, 1757438153395x416809556103947500, 1765399408996x262641226191956400, 1744398484109x785674167096991400, 1757437593796x460281345015416640, 1760118921086x941497076227920600, 1744751205492x235134337285239230, 1759930025997x126109694575208930, 1744134674881x127285411168640110, 1768427614253x929508274229176300, 1747848709032x210920410073364830, 1775244057768x699511577684581800, 1758312173588x895819358343598700, 1744740154739x566945822952470660, 1747184079669x994211808429350800, 1771517879190x523242735258870900, 1749580724532x760028975589297300, 1745273541628x945470626229355500, 1766070455303x639821695383855700, 1744907031541x119079844893356540, 1763255155587x707008769292458900, 1758568877707x715638242996164100, 1771545376609x752763268373144000, 1751744301621x758526182685981300, 1744157592334x292550965261606100, 1748389292320x918627677903932400, 1750785338983x949958887494882000, 1747864432460x772931238395911000, 1769719058268x843927058977011000, 1777321143190x321072500270616060, 1744282156200x727555159743162000, 1770755356265x111382421474427680, 1764893879099x465248075524681500, 1763305551668x997299018011994600, 1764711530894x480989914892320700, 1762889659042x996969350831174300, 1758120880051x675194275556497400, 1743547621069x279645472884266780, 1766011883106x917993758751800300, 1777042863057x294476376362385400, 1744260813114x505427712482621440, 1753982403438x535213824960417500, 1763569204895x378265538177280400, 1747420152884x437771544876149700, 1747415704843x665338483592092500, 1744175271939x575064790204550460, 1754941249648x796792188496967000, 1770152894907x464897480736850900, 1771436045389x658317953644361100, 1764781838221x716772635359430500, 1763408145585x201322720695875870, 1768426055630x579798080961828200, 1746843461447x686795565273950000, 1762957766158x632118084948257900, 1754084205128x675147807630683600, 1776373432940x530737443814194940, 1744743906400x631087870982087000, 1753135741395x558904608479141570, 1745533127765x291393362647413700, 1748581534531x956271769254002200, 1762364811793x796217509980630800, 1751224250248x539537516841198200, 1747163465846x476237095610093000, 1753985929691x853149258569598100, 1765001972595x338020444395840100, 1755533063776x956164571796881400, 1746765568691x979794717919274100, 1769635123521x385801932800474700, 1757720364741x595714121363069200, 1771538218470x758525499484679000, 1747170561218x640297169073643000, 1761930377989x951815782791809400, 1750436264420x989591292213482400, 1746938798847x931997689495082400, 1745528732739x896561533370513300, 1747216018889x770977089491677400, 1757355028996x505189727810192200, 1743549178851x847080663521240200, 1746631267951x741803061642879500, 1751749348389x952656707958261400, 1747221865162x703532834449508000, 1761044854709x307607562836745150, 1763672237927x725969385673238800, 1776102250538x198432379819539760, 1747398900475x598159844147748100, 1744737250347x219277345743008400, 1747185390251x665604546429507900, 1759423986281x805514757919405700, 1751402056748x637551618886434600, 1760458225389x690604949380638100, 1754081360962x724252535884739300, 1776210729408x448410210135887360, 1744391553368x301043576290850300, 1749173974503x736079030141835600, 1749742920378x965836759111504900, 1753374338412x209529915103450200, 1763509156539x144450665564595840, 1747183179554x540122160625888100, 1774573166178x561429420668618400, 1748365021326x105262688542451250, 1761762460002x434978052003146300, 1776552489781x780158200693874000, 1752182630575x854371423894944000, 1768238584049x399775147114029200, 1746548006831x128230088489826860, 1768584016102x834619843946063900, 1765991015203x350068785849064760, 1750783674403x491887953737125700, 1768844277981x664142917381285000, 1752687366861x422755081931784260, 1747165674437x491901038958021200, 1746467711533x453074785848415400, 1763148950401x545361905340972600, 1747827548541x313848517899538500",,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,impression
ajs-next-1778121371063-4e01c3e3-c40b-48f0-ac25-4838402bf85b,,2d0fb044-e3f0-477c-bb29-86fa288807c5,2026-05-07 02:36:11.063000+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Mobile Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,"[{'brand': 'Google Chrome', 'version': '147'}, {'brand': 'Not.A/Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '147'}]",True,Android,,,,search,search,/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,search,search,,,,,,,,,,,,,,,,,,,page
ajs-next-1778121423259-56e43dcb-c51a-4b73-9774-a4d9e3651fba,,2d0fb044-e3f0-477c-bb29-86fa288807c5,2026-05-07 02:37:03.259000+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Mobile Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,"[{'brand': 'Google Chrome', 'version': '147'}, {'brand': 'Not.A/Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '147'}]",True,Android,,,,search,search,/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,search,search,,,,,,,,,,,,,,,,,,,page
ajs-next-1778121372128-68f0ec25-4838-402b-b85b-a6a6133b3bf2,,2d0fb044-e3f0-477c-bb29-86fa288807c5,2026-05-07 02:36:12.128000+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Mobile Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,"[{'brand': 'Google Chrome', 'version': '147'}, {'brand': 'Not.A/Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '147'}]",True,Android,"1753465897836x101289632151690960, 1761762460002x434978052003146300, 1743547621069x279645472884266780, 1747163465846x476237095610093000, 1751744301621x758526182685981300, 1744397288473x909294892772270800, 1757720364741x595714121363069200, 1758120880051x675194275556497400, 1747415704843x665338483592092500, 1776552489781x780158200693874000, 1751402056748x637551618886434600, 1758312173588x895819358343598700, 1758568877707x715638242996164100, 1754624056001x759184470890143000, 1754084205128x675147807630683600, 1744175271939x575064790204550460, 1751224250248x539537516841198200, 1776360294100x840938158936498600, 1758147388607x898014240790697700, 1744643921578x315333816253624100, 1757437593796x460281345015416640, 1746843461447x686795565273950000, 1762271200864x775090106640580500, 1757438153395x416809556103947500, 1768238584049x399775147114029200, 1752717497153x537286585580736960, 1763569204895x378265538177280400, 1747170561218x640297169073643000, 1747420152884x437771544876149700, 1764963280733x431041418968701760, 1750436264420x989591292213482400, 1771517879190x523242735258870900, 1744157592334x292550965261606100, 1753982403438x535213824960417500, 1746855895334x711816173120128000, 1745533127765x291393362647413700, 1763148950401x545361905340972600, 1748389292320x918627677903932400, 1772482882558x843076024552954900, 1746765568691x979794717919274100, 1759423986281x805514757919405700, 1768426055630x579798080961828200, 1751749348389x952656707958261400, 1746631267951x741803061642879500, 1771436045389x658317953644361100, 1750784029587x963255839088365200, 1761762406893x958878656538368500, 1771545376609x752763268373144000, 1754505203290x671062062407191900, 1763255155587x707008769292458900, 1766011883106x917993758751800300, 1771433486472x495156137805681660, 1768584016102x834619843946063900, 1764893879099x465248075524681500, 1749742920378x965836759111504900, 1755621956288x571897163769246900, 1750783679107x801419812763124500, 1776102250538x198432379819539760, 1777052217878x935579896985562900, 1744260813114x505427712482621440, 1762957766158x632118084948257900, 1760118921086x941497076227920600, 1777921226784x512595595894430850, 1755533063776x956164571796881400, 1761044854709x307607562836745150, 1766070455303x639821695383855700, 1747185390251x665604546429507900, 1747827548541x313848517899538500, 1754941249648x796792188496967000, 1753985929691x853149258569598100, 1764342295066x618134664283571500, 1747594874125x270237571814453630, 1759153763139x433792388290277000, 1747184079669x994211808429350800, 1744579851707x640487742075829500, 1770755356265x111382421474427680, 1768844277981x664142917381285000, 1757355028996x505189727810192200, 1765001972595x338020444395840100, 1752182630575x854371423894944000, 1769635123521x385801932800474700, 1751425811600x127124815802215140, 1749580724532x760028975589297300, 1744751205492x235134337285239230, 1763672237927x725969385673238800, 1776360466250x658348247885801300, 1745597587022x519433479989605000, 1747221865162x703532834449508000, 1776373432940x530737443814194940, 1753374338412x209529915103450200, 1754081360962x724252535884739300, 1763509156539x144450665564595840, 1761930377989x951815782791809400, 1757369121056x350487849823425600, 1777321143190x321072500270616060, 1747864432460x772931238395911000, 1777042863057x294476376362385400, 1744398484109x785674167096991400, 1752687366861x422755081931784260, 1771021914207x198452557005754900, 1764711530894x480989914892320700, 1744760380914x558772773612561600, 1746635677548x343522492232585660, 1749057953945x756346430245684600, 1747165674437x491901038958021200, 1744391553368x301043576290850300, 1750783674403x491887953737125700, 1748581534531x956271769254002200, 1770152894907x464897480736850900, 1744907031541x119079844893356540, 1744740154739x566945822952470660, 1774573166178x561429420668618400, 1753911193017x504194995643152640, 1744737250347x219277345743008400, 1776210729408x448410210135887360, 1745528732739x896561533370513300, 1745273541628x945470626229355500, 1744134674881x127285411168640110, 1765991015203x350068785849064760, 1744335958024x226211831616957250, 1759930025997x126109694575208930, 1768581853937x610498789092930300, 1755271286521x378031808974615550, 1749173974503x736079030141835600, 1753135741395x558904608479141570, 1750784475796x702583457937545900, 1747216018889x770977089491677400, 1744282156200x727555159743162000, 1769719058268x843927058977011000, 1775244057768x699511577684581800, 1744743906400x631087870982087000, 1744736810207x919925185055488400, 1775058462201x523059865418210800, 1747183179554x540122160625888100, 1760458225389x690604949380638100, 1771538218470x758525499484679000, 1771003581692x955050931630977700, 1777405836126x277715594249416060, 1749068120323x412920063824988600, 1765399408996x262641226191956400, 1754949567759x639105313824555300, 1763408145585x201322720695875870, 1772982809798x739419868972941400, 1770943484557x164806709481949200, 1762889659042x996969350831174300, 1764781838221x716772635359430500, 1777042895042x187867473484191420, 1746827109704x963221719337950200, 1743549178851x847080663521240200, 1761919898226x928695665795906700, 1744319857648x144922844539837200, 1762364811793x796217509980630800, 1748365021326x105262688542451250, 1750785338983x949958887494882000, 1751319669665x621437589169731200, 1753909381745x872991521395046100, 1746938798847x931997689495082400, 1747398900475x598159844147748100, 1746467711533x453074785848415400, 1750423781412x480534435350699700, 1746548006831x128230088489826860, 1768427614253x929508274229176300, 1754927931120x470668069008822300, 1763305551668x997299018011994600, 1744748222708x779656090283929300, 1747848709032x210920410073364830",,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,impression
ajs-next-1778121397582-207e1994-40a6-4dc4-a4a2-c02f9c841c2d,,2d0fb044-e3f0-477c-bb29-86fa288807c5,2026-05-07 02:36:37.582000+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Mobile Safari/537.36",/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,"[{'brand': 'Google Chrome', 'version': '147'}, {'brand': 'Not.A/Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '147'}]",True,Android,,,,start,start,/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,start,start,,,,,,,,,,,,,,,,,,,page
ajs-next-1778121371485-c3e3c40b-68f0-4c25-8838-402bf85ba6a6,,2d0fb044-e3f0-477c-bb29-86fa288807c5,2026-05-07 02:36:11.485000+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Mobile Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,"[{'brand': 'Google Chrome', 'version': '147'}, {'brand': 'Not.A/Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '147'}]",True,Android,,sidebar,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,impression
ajs-next-1778121348762-302d0fb0-44e3-40e7-bc3b-2986fa288807,,2d0fb044-e3f0-477c-bb29-86fa288807c5,2026-05-07 02:35:48.762000+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Mobile Safari/537.36",/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,"[{'brand': 'Google Chrome', 'version': '147'}, {'brand': 'Not.A/Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '147'}]",True,Android,,,,start,start,/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,start,start,,,,,,,,,,,,,,,,,,,page
ajs-next-1778121424045-c51a1b73-5774-44d9-a365-1fba4de4e979,,2d0fb044-e3f0-477c-bb29-86fa288807c5,2026-05-07 02:37:04.045000+00:00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Mobile Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,"[{'brand': 'Google Chrome', 'version': '147'}, {'brand': 'Not.A/Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '147'}]",True,Android,1744579851707x640487742075829500,main_list,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,impression
